0,0,1
1,0,1
3,0,1
4,0,1
5,0,1
7,0,1
16,0,1
18,0,1
35,0,2
42,0,1
44,0,2
48,0,1
50,0,30
65,0,4
68,0,3
71,0,7
72,0,1
78,0,3
81,0,2
85,0,2
90,0,1
98,0,2
99,0,1
100,0,1
102,0,1
103,0,2
107,0,4
116,0,1
124,0,1
128,0,1
129,0,2
131,0,1
137,0,2
140,0,3
154,0,1
173,0,4
187,0,1
198,0,2
199,0,2
201,0,1
204,0,2
0,1,21
1,1,43
2,1,7
3,1,93
4,1,16
5,1,10
6,1,7
7,1,8
8,1,11
10,1,3
11,1,1
16,1,3
17,1,1
18,1,4
19,1,35
20,1,5
21,1,6
22,1,6
23,1,3
26,1,1
27,1,16
29,1,2
30,1,1
31,1,1
32,1,1
33,1,35
34,1,9
35,1,8
36,1,3
38,1,1
39,1,6
40,1,2
41,1,16
42,1,5
43,1,5
44,1,12
48,1,9
49,1,10
50,1,89
53,1,14
61,1,1
63,1,4
64,1,1
65,1,347
68,1,8
70,1,1
71,1,85
73,1,1
74,1,14
78,1,7
79,1,2
80,1,2
81,1,25
82,1,2
83,1,1
88,1,2
89,1,8
90,1,10
92,1,4
95,1,7
96,1,5
97,1,4
98,1,10
99,1,10
100,1,12
101,1,1
102,1,6
103,1,16
105,1,1
106,1,2
107,1,76
108,1,12
109,1,2
111,1,14
112,1,1
114,1,1
116,1,6
117,1,8
118,1,3
119,1,3
120,1,5
121,1,1
123,1,5
124,1,27
125,1,7
127,1,7
128,1,9
129,1,48
130,1,5
131,1,1
132,1,6
133,1,5
136,1,2
137,1,5
138,1,2
140,1,25
141,1,84
145,1,8
146,1,1
147,1,2
154,1,3
155,1,8
158,1,1
159,1,5
160,1,4
161,1,15
162,1,2
163,1,1
164,1,5
165,1,5
172,1,2
173,1,3
177,1,1
180,1,1
183,1,16
184,1,16
185,1,3
186,1,30
187,1,10
188,1,10
189,1,2
191,1,4
193,1,1
196,1,2
198,1,6
199,1,4
201,1,1
203,1,1
204,1,8
239,1,1
0,2,10
1,2,73
2,2,1
3,2,26
4,2,9
5,2,54
6,2,3
7,2,12
8,2,3
10,2,7
14,2,28
16,2,1
18,2,6
19,2,2
20,2,14
21,2,68
22,2,4
23,2,4
24,2,1
25,2,12
27,2,27
28,2,16
29,2,164
31,2,102
32,2,2
33,2,2
34,2,14
35,2,2
36,2,1
39,2,2
40,2,10
41,2,21
42,2,8
43,2,2
44,2,4
47,2,10
48,2,44
49,2,25
50,2,1
54,2,18
61,2,10
62,2,8
63,2,16
64,2,11
65,2,1
68,2,77
71,2,89
73,2,9
74,2,13
76,2,1
77,2,4
78,2,21
79,2,32
80,2,5
82,2,2
83,2,5
85,2,1
87,2,1
90,2,11
92,2,5
94,2,36
95,2,110
96,2,17
97,2,7
101,2,2
105,2,9
106,2,3
108,2,6
109,2,343
110,2,10
111,2,1
116,2,8
117,2,23
118,2,28
119,2,24
120,2,9
121,2,57
122,2,178
124,2,1
125,2,1
130,2,17
131,2,1
132,2,1
134,2,47
138,2,49
141,2,1
142,2,40
144,2,43
145,2,14
146,2,1
147,2,6
154,2,26
155,2,10
159,2,10
160,2,5
164,2,3
165,2,2
167,2,1
168,2,33
169,2,14
170,2,13
171,2,9
172,2,7
184,2,1
187,2,12
188,2,12
189,2,8
204,2,10
228,2,1
0,3,1
3,3,4
4,3,1
8,3,1
21,3,1
41,3,1
43,3,1
81,3,2
89,3,1
99,3,1
127,3,1
137,3,3
5,4,1
9,4,1
50,4,4
56,4,1
65,4,5
107,4,1
109,4,1
129,4,1
134,4,1
163,4,1
173,4,1
180,4,1
0,5,11
1,5,3
2,5,1
3,5,2
5,5,2
6,5,1
7,5,4
8,5,5
16,5,1
20,5,1
21,5,4
22,5,6
23,5,1
24,5,1
31,5,1
33,5,1
34,5,4
35,5,6
39,5,3
41,5,3
42,5,1
43,5,3
44,5,3
48,5,8
49,5,1
50,5,38
65,5,1
68,5,6
70,5,1
72,5,1
74,5,2
75,5,1
79,5,2
88,5,1
89,5,2
90,5,3
95,5,2
101,5,2
103,5,1
107,5,1
109,5,1
119,5,1
124,5,1
127,5,1
130,5,1
141,5,4
144,5,1
145,5,1
147,5,7
161,5,1
172,5,1
173,5,5
189,5,1
198,5,1
199,5,1
0,6,2
1,6,21
3,6,3
4,6,1
7,6,1
8,6,5
9,6,6
10,6,11
12,6,2
13,6,1
14,6,1
15,6,3
21,6,10
22,6,1
23,6,2
24,6,4
26,6,1
27,6,1
29,6,1
30,6,36
31,6,17
34,6,5
36,6,18
38,6,1
39,6,12
41,6,1
42,6,5
43,6,29
44,6,1
48,6,1
49,6,7
50,6,7
52,6,1
53,6,1
55,6,2
56,6,1
57,6,1
58,6,1
65,6,19
68,6,3
70,6,1
71,6,4
72,6,3
74,6,14
78,6,1
79,6,1
81,6,2
84,6,1
92,6,16
94,6,2
95,6,4
96,6,1
103,6,2
105,6,2
108,6,4
109,6,33
111,6,1
113,6,1
119,6,3
120,6,1
